2025-07-21 at 17:20:48 | INFO | Бот запущен...
2025-07-21 at 17:20:51 | ERROR | Ошибка при запуске бота: Telegram server says - Bad Request: chat not found
2025-07-21 at 17:20:51 | INFO | Бот успешно запущен.
2025-07-21 at 17:22:38 | INFO | Бот запущен...
2025-07-21 at 17:22:39 | ERROR | Ошибка при запуске бота: Telegram server says - Bad Request: chat not found
2025-07-21 at 17:22:39 | INFO | Бот успешно запущен.
2025-07-21 at 17:22:56 | INFO | Бот запущен...
2025-07-21 at 17:22:57 | ERROR | Ошибка при запуске бота: Telegram server says - Bad Request: chat not found
2025-07-21 at 17:22:57 | INFO | Бот успешно запущен.
2025-07-21 at 17:23:20 | INFO | Бот запущен...
2025-07-21 at 17:23:21 | ERROR | Ошибка при запуске бота: Telegram server says - Bad Request: chat not found
2025-07-21 at 17:23:21 | INFO | Бот успешно запущен.
2025-07-21 at 17:23:32 | INFO | Бот запущен...
2025-07-21 at 17:23:33 | ERROR | Ошибка при запуске бота: Telegram server says - Bad Request: chat not found
2025-07-21 at 17:23:33 | INFO | Бот успешно запущен.
2025-07-21 at 17:30:32 | INFO | Бот запущен...
2025-07-21 at 17:30:33 | INFO | Бот успешно запущен.
2025-07-21 at 17:34:16 | INFO | Бот запущен...
2025-07-21 at 17:34:16 | INFO | Бот успешно запущен.
2025-07-21 at 17:34:32 | INFO | Бот запущен...
2025-07-21 at 17:34:32 | INFO | Бот успешно запущен.
2025-07-21 at 17:34:49 | INFO | Бот запущен...
2025-07-21 at 17:34:50 | INFO | Бот успешно запущен.
2025-07-21 at 17:35:42 | INFO | Бот запущен...
2025-07-21 at 17:35:42 | INFO | Бот успешно запущен.
2025-07-21 at 17:35:42 | SUCCESS | Вебхук установлен: https://0dd7bb2538ec.ngrok-free.app/webhook
2025-07-21 at 17:36:05 | INFO | Получен запрос с вебхука.
2025-07-21 at 17:36:05 | INFO | Запись User с ID 312831871 не найдена.
2025-07-21 at 17:36:05 | INFO | Добавление записи User с параметрами: {'id': 312831871, 'username': 'alexeyfill', 'first_name': 'Alexey', 'last_name': 'F'}
2025-07-21 at 17:36:05 | ERROR | Ошибка при обработке обновления с вебхука: 'username' is an invalid keyword argument for User
2025-07-21 at 17:37:15 | INFO | Бот остановлен...
2025-07-21 at 17:37:15 | ERROR | Бот остановлен!
2025-07-21 at 17:44:57 | INFO | Бот запущен...
2025-07-21 at 17:44:58 | INFO | Бот успешно запущен.
2025-07-21 at 17:44:58 | SUCCESS | Вебхук установлен: https://0dd7bb2538ec.ngrok-free.app/webhook
2025-07-21 at 17:45:06 | INFO | Получен запрос с вебхука.
2025-07-21 at 17:45:07 | INFO | Запись User с ID 312831871 не найдена.
2025-07-21 at 17:45:07 | INFO | Добавление записи User с параметрами: {'id': 312831871, 'username': 'alexeyfill', 'first_name': 'Alexey', 'last_name': 'F'}
2025-07-21 at 17:45:07 | INFO | Запись User успешно добавлена.
2025-07-21 at 17:45:07 | INFO | Обновление успешно обработано.
2025-07-21 at 17:45:10 | INFO | Получен запрос с вебхука.
2025-07-21 at 17:45:10 | INFO | Обновление успешно обработано.
2025-07-21 at 17:45:12 | INFO | Получен запрос с вебхука.
2025-07-21 at 17:45:12 | INFO | Подсчет количества записей User по фильтру: {}
2025-07-21 at 17:45:12 | INFO | Найдено 1 записей.
2025-07-21 at 17:45:13 | INFO | Обновление успешно обработано.
2025-07-21 at 17:45:16 | INFO | Получен запрос с вебхука.
2025-07-21 at 17:45:16 | INFO | Обновление успешно обработано.
2025-07-21 at 17:45:18 | INFO | Получен запрос с вебхука.
2025-07-21 at 17:45:18 | INFO | Обновление успешно обработано.
2025-07-21 at 17:45:21 | INFO | Получен запрос с вебхука.
2025-07-21 at 17:45:22 | INFO | Обновление успешно обработано.
2025-07-21 at 17:45:23 | INFO | Получен запрос с вебхука.
